transaction_id,customer_id,transaction_date,product_sku,product_description,product_category,quantity,avg_price,delivery_charges,coupon_status,coupon_code,discount_pct,payment_method,shipping_provider,transaction_rating,net_revenue
29870,15005,2024-08-06,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.59,6.0,Used,EXTRA30,30.0,Credit Card,Australia Post Express,4.0,1.113
35403,12766,2024-11-08,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.59,6.0,Used,EXTRA20,20.0,Cash,StarTrack Express,3.0,1.2720000000000002
31404,14016,2024-06-27,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.0,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,4.0,1.393
38949,17602,2024-09-25,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,12.99,Used,EXTRA30,30.0,Credit Card,CouriersPlease,4.0,1.393
37541,16059,2024-06-09,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.0,Used,EXTRA30,30.0,Credit Card,Australia Post Express,3.0,1.393
37352,16839,2024-04-09,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.0,Used,EXTRA30,30.0,Credit Card,Australia Post Courier,3.0,1.393
24944,15005,2024-06-04,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.59,20.85,Used,EXTRA10,10.0,PayPal,Toll Priority,4.0,1.431
39491,17504,2024-01-10,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.59,6.0,Used,EXTRA10,10.0,Credit Card,Australia Post Courier,3.0,1.431
27960,17428,2024-05-13,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.0,Used,EXTRA20,20.0,Debit Card,Australia Post Courier,2.0,1.592
21293,15426,2024-02-24,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.5,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,4.0,1.592
27099,14800,2024-03-05,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.0,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,3.0,1.592
21306,15426,2024-02-24,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,20.0,Used,EXTRA20,20.0,Credit Card,Toll Priority,3.0,1.592
25380,17377,2024-12-04,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.5,Used,EXTRA10,10.0,PayPal,Australia Post Courier,4.0,1.791
39918,15465,2024-05-10,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.0,Used,EXTRA10,10.0,PayPal,Australia Post Express,3.0,1.791
17032,17908,2024-04-01,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,2.05,6.5,Used,EXTRA10,10.0,PayPal,StarTrack Express,4.0,1.845
21951,16858,2024-04-03,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,3.0,1.99
25132,15996,2024-09-04,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,1.99,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,3.0,1.99
17217,17968,2024-06-01,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,1,2.05,6.5,Not Used,no,0.0,PayPal,StarTrack Express,4.0,2.05
36981,12490,2024-08-30,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,2,1.59,6.0,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,3.18
38567,17091,2024-09-20,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,2,1.59,12.99,Not Used,no,0.0,Credit Card,CouriersPlease,3.0,3.18
38920,17602,2024-09-25,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,2,1.99,12.99,Not Used,no,0.0,Credit Card,CouriersPlease,4.0,3.98
26468,15723,2024-04-26,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,3,1.99,6.0,Used,EXTRA10,10.0,Credit Card,StarTrack Express,3.0,5.373
24048,17591,2024-03-25,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,5,1.59,24.37,Used,EXTRA30,30.0,PayPal,Toll Priority,3.0,5.5649999999999995
38112,13089,2024-09-13,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,3,1.99,6.0,Not Used,no,0.0,PayPal,StarTrack Express,3.0,5.97
27485,17085,2024-08-05,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,4,1.99,6.0,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,2.0,6.368
35956,13078,2024-08-18,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,5,1.99,6.0,Used,EXTRA20,20.0,Credit Card,Australia Post Courier,2.0,7.96
26957,13798,2024-01-05,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,5,1.99,12.99,Not Used,no,0.0,Credit Card,CouriersPlease,4.0,9.95
24549,18043,2024-03-31,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.59,6.5,Used,EXTRA30,30.0,Credit Card,Australia Post Express,4.0,11.129999999999999
31353,12720,2024-06-27,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.99,19.99,Used,EXTRA30,30.0,PayPal,Toll Priority,4.0,13.929999999999998
33787,15271,2024-07-26,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.59,12.91,Used,EXTRA10,10.0,PayPal,CouriersPlease,3.0,14.31
25448,14355,2024-04-13,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.59,13.75,Not Used,no,0.0,Credit Card,CouriersPlease,3.0,15.9
36495,17338,2024-08-24,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.99,6.0,Used,EXTRA20,20.0,PayPal,Australia Post Express,2.0,15.92
24870,15311,2024-05-04,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.99,6.5,Used,EXTRA10,10.0,Credit Card,Australia Post Express,4.0,17.91
39539,14646,2024-02-10,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,1.99,6.0,Used,EXTRA10,10.0,PayPal,Australia Post Courier,4.0,17.91
32926,13319,2024-07-17,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,13,1.59,13.38,Used,EXTRA10,10.0,Credit Card,CouriersPlease,4.0,18.603
17167,16583,2024-05-01,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,10,2.05,6.5,Not Used,no,0.0,Credit Card,Australia Post Courier,4.0,20.5
27478,17085,2024-08-05,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,15,1.99,19.99,Used,EXTRA20,20.0,Credit Card,Toll Priority,4.0,23.880000000000003
37202,15570,2024-01-09,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,20,1.99,6.0,Used,EXTRA30,30.0,PayPal,Australia Post Courier,2.0,27.859999999999996
24674,17341,2024-03-04,GGOEGCKQ013199,1 oz Hand Sanitizer,Lifestyle,15,1.99,6.5,Not Used,no,0.0,Debit Card,Australia Post Courier,3.0,29.85
